"paper_type","revenue","account_id","account_manager","account_name","business_size","cancelled_at","days_to_close","days_to_ship","discount","index","order_id","payment_cycle","price","product_id","product_name","purchased_at","quantity","rating","returned_at","review","reviewed_at","shipping_address","shipping_city","shipping_cost","shipping_latitude","shipping_longitude","shipping_mode","shipping_region","shipping_state","shipping_zip","status","order_contact_name","order_contact_email"
"Printer",3250,"60906229fc13ae0a6b00031c","Ryan Howard","Schroeder-O'Connell",110,,9,5,,8,"0039d92b-9259-4a68-b1b8-944e76c955bb","MONTH",25,"51747084B","JAM Paper® Ledger Strathmore 24lb Paper, 11 x 17 Tabloid, Bright White Wove, 500 Sheets/Ream",2021-09-29 08:06:11.000,130,,,,,"36847 Dwight Pass","Burnicefurt",,28.19912,-80.781941,"REGULAR","South","AL",32947,"COMPLETED","Maggie Pig","maggie@schroeder-oconnell.com"
"Copy",100730,"60906229fc13ae0a6b000281","Andy Bernard","Klein, DuBuque and Nienow",854,,79,9,,7,"01783856-f14e-4178-a0bd-577cbcb2f74b","ANNUAL",1439,"324791-LQO","Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",2021-10-28 20:35:43.000,70,4,,"One minor suggestion for improvement: it'd be cool if Dundler Mifflin had a shipping program similar to Amazon Prime. It would make the buying and shipping process SO much better!",2021-11-24 17:28:31.000,"9945 Jenifer Terrace","Kossport",,42.122965,-102.88128,"REGULAR","West","MT",69325,"COMPLETED","Alfonso Alligator","alfonso@klein.com"
"Multipurpose",306510,"60906229fc13ae0a6b0000a0","Angela Martin","Rath, Little and Kunze",515,,142,1,,3,"01d6d2a8-1b6e-4a0c-b0aa-7e58f767aece","BIWEEK",1803,"TR56962-LQO","TRU RED™ Multipurpose Paper, 20 lbs., 96 Bright, 500 /Ream, 10 Reams/Carton, 40 Cartons/Pallet",2021-01-16 02:54:38.000,170,4,,"The sales person helped us figure out exactly what we needed. Great service!",2021-01-28 02:40:14.000,"4963 Forster Way","Bernardoport",100,43.575359,-85.748757,"EXPRESS","Midwest","IN",49384,"COMPLETED","Melba Koala","melba@rath.com"
"Copy",207599.69999999998,"60906229fc13ae0a6b00005d","Ryan Howard","Schoen, Koss and Erdman",436,,99,0,,14,"020b0c40-142a-4142-9296-e64e49cfa4bd","ANNUAL",6919.99,"3r02047pl","Hammermill Copy Plus Copy Paper, 92 Brightness, 20lb, 8-1/2 X 11, White, 200,000 Sheets/CT",2021-08-15 23:42:39.000,30,,"2021-08-22 3:04:15",,,"768 Hoard Road","Lillianmouth",100,37.050277,-76.342873,"EXPRESS","Northeast","PA",23677,"RETURNED","Weber Duck","weber@schoen.com"
"Copy",287800,"60906229fc13ae0a6b000254","Dwight Schrute","Kihn, Gulgowski and Hammes",72,,62,7,,7,"0241652f-70c4-49f2-9a61-d713e4416aa7","MONTH",1439,"324791-LQO","Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",2021-06-07 09:00:45.000,200,3,,"Not a visionary company, but they get the job done.",2021-06-22 14:31:57.000,"940 Westerfield Terrace","Grahamhaven",100,34.078573,-118.043456,"EXPRESS","West","MT",91731,"COMPLETED","Sally Squirrel","sally@kihn.com"
"Multipurpose",10558.4,"60906229fc13ae0a6b00028a","Oscar Martinez","Mante-Ziemann",943,,41,10,13.2,3,"024c9173-0dc6-4bd6-9533-4243acf709f1","WEEK",65.99,"3R02047","Xerox Vitality Multipurpose Paper, 8.5"" x 11"", 20 lbs., White, 500 Sheets/Ream, 10 Reams/Carton",2021-02-25 06:11:55.000,160,3,,"Not a bad option if you're still using paper. Our company is trying to move to digital in the next few years.",2021-03-16 14:35:55.000,"0 Kedzie Lane","New Elvie",,42.54933,-71.251725,"REGULAR","West","HI",1821,"COMPLETED","Bill Duck","bill@mante-ziemann.com"
"Printer",664.5,"60906229fc13ae0a6b0002c6","Dwight Schrute","Nitzsche Group",976,,50,5,,9,"024d2f28-10d4-4ee9-bc87-1798e6d83dd7","ANNUAL",13.29,"191259","JAM Paper® Strathmore 24lb Paper, 8.5 x 11, Ivory Wove, 100 Sheets/Pack",2021-08-15 13:15:17.000,50,4,,"Heard of Dunder Mifflin through the grapevine, and they did not disappoint!",2021-08-28 16:36:53.000,"09383 Burning Wood Center","New Claudieville",100,35.428391,-97.640843,"EXPRESS","South","MS",73317,"COMPLETED","Barold Cub","barold@nitzsche.com"
"Kraft Roll",4199.3,"60906229fc13ae0a6b000069","Pam Beesly","Oberbrunner-Prohaska",127,,45,3,12,9,"02744930-0038-4bdb-b984-0af353851049","MONTH",59.99,"310-36-40","Delta Paper Butcher Paper Roll, White, 40 lbs., 36"" x 1000', 1 Roll",2021-11-20 08:28:48.000,70,3,,"Account manager was not responsive",2021-12-07 09:40:48.000,"2037 Fairfield Terrace","Port Camyllefort",,52.213091,-174.215643,"REGULAR","Northeast","NY",99547,"COMPLETED","Portia Dog","portia@oberbrunner-prohaska.com"
"Printer",1461.8999999999999,"60906229fc13ae0a6b0000da","Creed Patton","Oberbrunner-Leannon",645,,69,9,,2,"02ba9418-d588-4f43-9d7a-0edab691f675","WEEK",13.29,"191259","JAM Paper® Strathmore 24lb Paper, 8.5 x 11, Ivory Wove, 100 Sheets/Pack",2021-01-07 19:57:15.000,110,5,,"We've been buying from Dunder Mifflin for a few years now and each time they do not disappoint!",2021-01-27 05:47:39.000,"26 Gale Place","East Kathlyn",,37.427731,-76.537584,"REGULAR","West","WA",23061,"COMPLETED","Dobie Wolf","dobie@oberbrunner-leannon.com"
"Cardstock",73.8,"60906229fc13ae0a6b000189","Dwight Schrute","Mills-Abernathy",784,,18,4,,4,"02dc5912-8a37-46f6-82bb-74e9b07d6f10","ANNUAL",3.69,"91335","Neenah Paper Creative Collection Basic 8.5"" x 11"" Cardstock Paper, 65 lbs., 50 Sheets/Pack",2021-06-06 08:31:00.000,20,1,,"I Would Like To Never Speak To Dwight Schrute Ever Again",2021-07-02 10:55:00.000,"91 Golden Leaf Parkway","Pollichshire",,42.388652,-84.469336,"REGULAR","Midwest","OH",49278,"COMPLETED","Bruce Deer","bruce@mills-abernathy.com"
